"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"date/hora: data/hora da transação publicada"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"Atenção: relatórios com data de início de 1º de janeiro de 2025 ou mais recentes são indexados pela data de publicação, incluem transações liberadas e diferidas e têm duas novas colunas. Pode ser necessário atualizar integrações ou mapeamentos de terceiros."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total","Status da transação","Data de liberação da transação"
"31 de mar. de 2026 20:32:25 GMT-7","26049285971","Taxa de Estoque FBA","","","Frete da transportadora parceira da Amazon de FBA","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","0","0","Liberado","31 de mar. de 2026 20:32:25 GMT-7"
"31 de mar. de 2026 23:56:11 GMT-7","26176688371","Pedido","701-3833970-8337805","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","2","amazon.com.br","Boleto","Amazon","Uberaba","MG","38022","71,98","0","0","0","0","-10,08","-10,00","0","0","51,90","Liberado","9 de abr. de 2026 06:30:54 GMT-7"
"1 de abr. de 2026 04:22:53 GMT-7","26176688371","Pedido","702-9230446-2725037","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Fortaleza","CE","60192","77,97","8,90","0","-8,90","0","-9,36","-5,00","0","0","63,61","Liberado","10 de abr. de 2026 03:25:06 GMT-7"
"1 de abr. de 2026 04:59:37 GMT-7","26176089791","Pedido","702-9056003-7483442","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Paulo","SP","04750","33,97","0","0","0","0","-4,76","-5,00","0","0","24,21","Liberado","9 de abr. de 2026 08:07:28 GMT-7"
"1 de abr. de 2026 10:53:25 GMT-7","26049285971","Taxa de Estoque FBA","26033010DZ","","Tarifa de devolução de inventário pela Amazon","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","-1,12","-1,12","Liberado","1 de abr. de 2026 10:53:25 GMT-7"
"1 de abr. de 2026 11:37:36 GMT-7","26219047571","Pedido","701-6938855-6126633","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Santos","SP","11060","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","11 de abr. de 2026 00:18:56 GMT-7"
"1 de abr. de 2026 11:50:31 GMT-7","26176089791","Pedido","701-3494879-4489038","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Porto Alegre","RS","91530","35,99","0","0","-3,60","0","-4,53","-5,00","0","0","22,86","Liberado","9 de abr. de 2026 22:51:59 GMT-7"
"1 de abr. de 2026 14:05:51 GMT-7","26219047571","Pedido","701-7170732-6177855","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Fortaleza","CE","60177","33,97","0","0","0","0","-4,76","-5,00","0","0","24,21","Liberado","10 de abr. de 2026 08:32:39 GMT-7"
"1 de abr. de 2026 15:53:43 GMT-7","26219047571","Pedido","702-8331570-7471459","MFS-0032","Conjunto 6 Potes de Vidro 350ml Nadir Figueredo","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Goiânia","GO","74890","67,99","0","0","0","0","-8,16","-5,00","0","0","54,83","Liberado","11 de abr. de 2026 09:13:00 GMT-7"
"1 de abr. de 2026 16:35:43 GMT-7","26175647941","Pedido","701-4368372-1059444","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Porto Alegre","RS","91920","77,97","0","0","0","0","-9,36","-5,00","0","0","63,61","Liberado","10 de abr. de 2026 08:02:03 GMT-7"
