"Inclui transações da Amazon Marketplace, Fulfillment by Amazon (FBA), e Amazon Webstore"
"Todas as quantias em BRL, a menos que especificado"
"Definições:"
"date/hora: data/hora da transação publicada"
"Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos, envio e embalagem para presente."
"Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência."
"Outras taxas de transação: Inclui cobranças retroativas de envio, retenção de envi, taxas por item e taxas de coleta de impostos de vendas."
"Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes, consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido."
"Atenção: relatórios com data de início de 1º de janeiro de 2025 ou mais recentes são indexados pela data de publicação, incluem transações liberadas e diferidas e têm duas novas colunas. Pode ser necessário atualizar integrações ou mapeamentos de terceiros."
"data/hora","id de liquidação","tipo","id do pedido","sku","descrição","quantidade","mercado","tipo de conta","atendimento","cidade do pedido","estado do pedido","postal do pedido","vendas do produto","créditos de remessa","créditos de embalagem de presente","descontos promocionais","imposto de vendas coletados","tarifas de venda","taxas fba","taxas de outras transações","outro","total","Status da transação","Data de liberação da transação"
"28 de fev. de 2026 21:17:51 GMT-8","25918067241","Pedido","701-2971794-5727426","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","São Paulo","SP","04520","69,97","0","0","0","0","-8,40","-5,00","0","0","56,57","Liberado","8 de mar. de 2026 07:19:19 GMT-7"
"28 de fev. de 2026 21:27:08 GMT-8","25705332501","Ajuste","","MFS-0023+A","Reembolso de Estoque FBA - Perdido:Depósito","1","","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","28,53","28,53","Liberado","28 de fev. de 2026 21:27:08 GMT-8"
"1 de mar. de 2026 00:15:19 GMT-8","25926492791","Pedido","701-4122356-0838640","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Iguatu","CE","63500","75,97","3,19","0","-3,19","0","-9,12","-5,00","0","0","61,85","Liberado","16 de mar. de 2026 06:14:14 GMT-7"
"1 de mar. de 2026 07:58:29 GMT-8","25918067241","Pedido","701-1285871-3065019","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","São Paulo","SP","04829","69,97","0","0","0","0","-8,40","-5,00","0","0","56,57","Liberado","9 de mar. de 2026 03:49:28 GMT-7"
"1 de mar. de 2026 11:06:59 GMT-8","25918067241","Pedido","701-3814422-7687447","MFS-0023+R","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Rosa)","1","amazon.com.br","Visa Crédito","Amazon","Sao Paulo","Sao Paulo","05586","34,99","0","0","0","0","-4,90","-5,00","0","0","25,09","Liberado","9 de mar. de 2026 01:37:14 GMT-7"
"1 de mar. de 2026 12:58:29 GMT-8","25918067241","Pedido","701-6633518-5213039","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Porto Alegre","RS","91788","75,97","0","0","-13,67","0","-7,48","-5,00","0","0","49,82","Liberado","10 de mar. de 2026 00:29:24 GMT-7"
"1 de mar. de 2026 13:01:55 GMT-8","25909877011","Pedido","702-2073158-8965001","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","S&atilde;o Jos&eacute; dos Campos","SP","12244","69,97","8,90","0","-8,90","0","-8,40","-5,00","0","0","56,57","Liberado","10 de mar. de 2026 03:02:33 GMT-7"
"1 de mar. de 2026 16:05:30 GMT-8","25909877011","Pedido","702-3129145-0091413","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Recife","PE","52130","41,99","0","0","-6,30","0","-5,00","-5,00","0","0","25,69","Liberado","9 de mar. de 2026 09:22:23 GMT-7"
"1 de mar. de 2026 16:07:36 GMT-8","25917921581","Pedido","701-9800083-3080231","MFS-0012","Misturador Bebidas Mini Mixer Elétrico Portátil para Café Ovos Fuê 3 Velocidades Batedor Recarregável Premium Mundo F&s","1","amazon.com.br","Boleto","Amazon","Recife","PE","52041","37,99","0","0","-1,90","0","-4,33","-5,00","0","0","26,76","Liberado","9 de mar. de 2026 05:37:31 GMT-7"
"1 de mar. de 2026 18:47:19 GMT-8","25909877011","Pedido","701-8228076-4514603","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Rio de Janeiro","RJ","23040","75,97","0","0","-13,67","0","-7,48","-5,00","0","0","49,82","Liberado","10 de mar. de 2026 07:30:44 GMT-7"
"1 de mar. de 2026 18:48:40 GMT-8","25909877011","Pedido","701-9438020-6868242","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Fortaleza","CE","60130","75,97","0","0","0","0","-9,12","-5,00","0","0","61,85","Liberado","10 de mar. de 2026 07:42:24 GMT-7"
"1 de mar. de 2026 23:32:15 GMT-8","25926492791","Pedido","701-4416437-5545036","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Araraquara","SP","14806","69,97","3,41","0","-3,41","0","-8,40","-5,00","0","0","56,57","Liberado","11 de mar. de 2026 03:45:38 GMT-7"
"2 de mar. de 2026 03:39:09 GMT-8","25925975161","Pedido","702-8716280-9910631","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Pinhais","PR","83326","75,97","0","0","-13,67","0","-7,48","-5,00","0","0","49,82","Liberado","11 de mar. de 2026 01:22:30 GMT-7"
"2 de mar. de 2026 04:34:14 GMT-8","25975712601","Pedido","702-5524134-9018616","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Venha-Ver","RN","59925","41,99","2,16","0","-8,46","0","-5,00","-5,00","0","0","25,69","Liberado","24 de mar. de 2026 06:47:22 GMT-7"
"2 de mar. de 2026 07:30:27 GMT-8","25926492791","Pedido","702-3172016-1196249","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Belém","PA","66035","41,99","1,14","0","-1,14","0","-5,88","-5,00","0","0","31,11","Liberado","11 de mar. de 2026 19:42:43 GMT-7"
"2 de mar. de 2026 07:33:13 GMT-8","25918067241","Pedido","701-4881090-5229850","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Visa Crédito","Amazon","Fortaleza","CE","60811","41,99","0","0","0","0","-5,88","-5,00","0","0","31,11","Liberado","10 de mar. de 2026 04:20:22 GMT-7"
"2 de mar. de 2026 07:57:29 GMT-8","25918067241","Pedido","702-3261717-5089018","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Visa Crédito","Amazon","São Paulo","SP","02333","41,99","0","0","0","0","-5,88","-5,00","0","0","31,11","Liberado","10 de mar. de 2026 05:42:46 GMT-7"
"2 de mar. de 2026 08:24:04 GMT-8","25926786851","Pedido","701-2562060-5940251","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Rio de Janeiro","RJ","20511","75,97","0","0","0","0","-9,12","-5,00","0","0","61,85","Liberado","11 de mar. de 2026 05:49:46 GMT-7"
"2 de mar. de 2026 09:32:02 GMT-8","25909877011","Pedido","701-8712078-7016235","MFS-0023+A","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Azul)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Rio de Janeiro","Rio de Janeiro","20270","41,99","0","0","0","0","-5,88","-5,00","0","0","31,11","Liberado","10 de mar. de 2026 06:48:44 GMT-7"
"2 de mar. de 2026 11:00:23 GMT-8","25926786851","Pedido","701-4728004-4240268","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","São João do Jaguaribe","CE","62965","76,97","0","0","-13,85","0","-7,57","-5,00","0","0","50,55","Liberado","16 de mar. de 2026 13:13:57 GMT-7"
"2 de mar. de 2026 11:34:31 GMT-8","25926492791","Pedido","702-7172549-3920255","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Teresópolis","RJ","25958","76,97","0","0","-13,85","0","-7,57","-5,00","0","0","50,55","Liberado","11 de mar. de 2026 05:59:03 GMT-7"
"2 de mar. de 2026 16:30:19 GMT-8","25925975161","Pedido","701-4060887-3593040","MFS-0025","Adaptador Tomada Benjamin Articulado Bivolt Flexível com 2 Entradas Usb Portátil Conecta 4 Dispositivos Mundo F&s","1","amazon.com.br","Boleto","Amazon","Ituiutaba","MG","38304","32,97","8,90","0","-8,90","0","-4,95","-5,00","0","0","23,02","Liberado","15 de mar. de 2026 08:20:05 GMT-7"
"3 de mar. de 2026 03:32:33 GMT-8","25816595811","Taxa de Estoque FBA","","","Tarifa de armazenagem do programa FBA - Logística da Amazon","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","0","0","Liberado","3 de mar. de 2026 03:32:33 GMT-8"
"3 de mar. de 2026 05:43:57 GMT-8","26110157791","Pedido","701-5028897-9407403","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Elo","Amazon","Boa Vista","RR","69317","71,99","2,94","0","-2,94","0","-8,64","-5,00","0","0","58,35","Liberado","3 de abr. de 2026 08:47:00 GMT-7"
"3 de mar. de 2026 13:04:42 GMT-8","25975411771","Pedido","701-5175294-8116248","MFS-0012","Misturador Bebidas Mini Mixer Elétrico Portátil para Café Ovos Fuê 3 Velocidades Batedor Recarregável Premium Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Manaus","AM","69093","37,99","0","0","-1,90","0","-4,33","-5,00","0","0","26,76","Liberado","20 de mar. de 2026 06:31:30 GMT-7"
"3 de mar. de 2026 13:12:29 GMT-8","25816595811","Reembolso","701-3128788-4397862","MFS-0016","Campainha Inteligente Sem Fio com Wifi Câmera e Áudio Acesso Remoto via App Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Fortaleza","CE","60175","-69,99","0","0","0","0","6,16","0","0","0","-63,83","Liberado","3 de mar. de 2026 13:12:29 GMT-8"
"3 de mar. de 2026 14:37:46 GMT-8","25907948121","Transferir","","","Conta bancária com final: 964","","","Boleto","","","","","0","0","0","0","0","0","0","0","-705,29","-705,29","Liberado","3 de mar. de 2026 14:37:46 GMT-8"
"3 de mar. de 2026 14:44:03 GMT-8","25907566471","Transferir","","","Conta bancária com final: 964","","","Visa Crédito","","","","","0","0","0","0","0","0","0","0","-792,39","-792,39","Liberado","3 de mar. de 2026 14:44:03 GMT-8"
"3 de mar. de 2026 15:44:23 GMT-8","25926492791","Pedido","701-9124797-2425846","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Porto Alegre","RS","91778","76,97","0","0","0","0","-9,24","-5,00","0","0","62,73","Liberado","12 de mar. de 2026 07:30:20 GMT-7"
"3 de mar. de 2026 17:21:16 GMT-8","25926786851","Pedido","701-3018881-4624256","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Campinas","SP","13083","69,97","0","0","0","0","-8,40","-5,00","0","0","56,57","Liberado","12 de mar. de 2026 06:41:33 GMT-7"
"3 de mar. de 2026 21:30:08 GMT-8","25926492791","Pedido","702-7071283-0765041","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Brasília","DF","71916","41,99","0","0","-6,30","0","-5,00","-5,00","0","0","25,69","Liberado","11 de mar. de 2026 06:55:55 GMT-7"
"3 de mar. de 2026 23:48:15 GMT-8","25816595811","Ajuste","702-8383263-8647453","MFS-0013","Reembolso de Estoque FBA - Devolução do cliente","1","","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","40,33","40,33","Liberado","3 de mar. de 2026 23:48:15 GMT-8"
"4 de mar. de 2026 03:47:17 GMT-8","25926492791","Pedido","702-2771807-5461025","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Aracaju","SE","49027","69,97","0","0","0","0","-8,40","-5,00","0","0","56,57","Liberado","14 de mar. de 2026 03:34:36 GMT-7"
"4 de mar. de 2026 06:11:18 GMT-8","25926492791","Pedido","701-1006556-7201816","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São José","SC","88110","35,99","0","0","-5,40","0","-4,28","-5,00","0","0","21,31","Liberado","12 de mar. de 2026 15:56:27 GMT-7"
"4 de mar. de 2026 08:57:38 GMT-8","25909877011","Reembolso","702-4220428-8594615","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Fortaleza","CE","60192","-75,97","0","0","13,67","0","5,98","0","0","0","-56,32","Liberado","6 de mar. de 2026 04:22:19 GMT-8"
"4 de mar. de 2026 11:31:46 GMT-8","25925975161","Pedido","701-0676464-5153038","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Boleto","Amazon","Rio de Janeiro","RJ","22775","41,99","0","0","-6,30","0","-5,00","-5,00","0","0","25,69","Liberado","13 de mar. de 2026 21:01:27 GMT-7"
"4 de mar. de 2026 14:38:12 GMT-8","25909877011","Transferir","","","Conta bancária com final: 964","","","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","-3.263,25","-3.263,25","Liberado","4 de mar. de 2026 14:38:12 GMT-8"
"4 de mar. de 2026 15:28:23 GMT-8","25925975161","Pedido","702-6233245-5929008","MFS-0025","Adaptador Tomada Benjamin Articulado Bivolt Flexível com 2 Entradas Usb Portátil Conecta 4 Dispositivos Mundo F&s","1","amazon.com.br","Boleto","Amazon","Belo Horizonte","MG","30110","32,97","2,62","0","-2,62","0","-4,95","-5,00","0","0","23,02","Liberado","17 de mar. de 2026 08:45:16 GMT-7"
"4 de mar. de 2026 15:30:21 GMT-8","25926786851","Pedido","701-9783186-5863431","MFS-0027","Kit com Tigelas Americano com Tampa Plástica Sortida Potes de Vidro 150 ml 12 Unidades Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Goiânia","GO","74375","69,97","0","0","0","0","-8,40","-5,00","0","0","56,57","Liberado","12 de mar. de 2026 09:04:43 GMT-7"
"4 de mar. de 2026 21:21:05 GMT-8","25926786851","Pedido","701-5715535-3280218","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","BRASILIA","DF","70234","76,97","0","0","0","0","-9,24","-5,00","0","0","62,73","Liberado","12 de mar. de 2026 08:23:02 GMT-7"
"5 de mar. de 2026 05:11:43 GMT-8","25926786851","Pedido","701-3287914-9125014","MFS-0012","Misturador Bebidas Mini Mixer Elétrico Portátil para Café Ovos Fuê 3 Velocidades Batedor Recarregável Premium Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Duque de Caxias","RJ","25215","37,99","0","0","0","0","-4,56","-5,00","0","0","28,43","Liberado","14 de mar. de 2026 03:54:52 GMT-7"
"5 de mar. de 2026 06:53:45 GMT-8","25909877011","Taxa de Estoque FBA","","","Frete da transportadora parceira da Amazon de FBA","","Amazon.com.br","Crédito Mastercard e outros","","","","","0","0","0","0","0","0","0","0","0","0","Liberado","5 de mar. de 2026 06:53:45 GMT-8"
"5 de mar. de 2026 07:52:26 GMT-8","25926492791","Pedido","701-5408796-7381840","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","São Caetano do Sul","São Paulo","09530","35,99","0","0","0","0","-5,04","-5,00","0","0","25,95","Liberado","13 de mar. de 2026 08:13:59 GMT-7"
"5 de mar. de 2026 08:58:31 GMT-8","25926492791","Pedido","702-1992674-1907449","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Sorocaba","SP","18010","76,97","0","0","0","0","-18,48","-5,00","0","0","53,49","Liberado","14 de mar. de 2026 05:43:27 GMT-7"
"5 de mar. de 2026 08:58:31 GMT-8","25926492791","Pedido","702-1992674-1907449","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Sorocaba","SP","18010","76,97","0","0","0","0","0","-5,00","0","0","71,97","Liberado","14 de mar. de 2026 05:43:27 GMT-7"
"5 de mar. de 2026 09:09:42 GMT-8","25926492791","Pedido","701-7162447-1669033","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Santa Luzia","Paraíba","58600","41,99","0","0","0","0","-5,88","-5,00","0","0","31,11","Liberado","17 de mar. de 2026 06:48:06 GMT-7"
"5 de mar. de 2026 11:24:46 GMT-8","25926492791","Pedido","701-9683855-2038635","MFS-0025+2","Kit 2 Adaptador Tomada T Benjamin Articulado Bivolt Flexível com 2 Entradas Usb Portátil Conecta 4 Dispositivos Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Teresópolis","RJ","25973","54,97","0","0","-2,75","0","-7,83","-5,00","0","0","39,39","Liberado","14 de mar. de 2026 23:45:55 GMT-7"
"5 de mar. de 2026 11:53:06 GMT-8","25926492791","Pedido","702-5945791-6787468","MFS-0023+P","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Preto)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Recife","PE","52060","35,99","0","0","0","0","-5,04","-5,00","0","0","25,95","Liberado","14 de mar. de 2026 14:07:31 GMT-7"
"5 de mar. de 2026 14:41:44 GMT-8","25917921581","Transferir","","","Conta bancária com final: 964","","","Boleto","","","","","0","0","0","0","0","0","0","0","-141,83","-141,83","Liberado","5 de mar. de 2026 14:41:44 GMT-8"
"5 de mar. de 2026 14:44:02 GMT-8","25918067241","Transferir","","","Conta bancária com final: 964","","","Visa Crédito","","","","","0","0","0","0","0","0","0","0","-144,41","-144,41","Liberado","5 de mar. de 2026 14:44:02 GMT-8"
"5 de mar. de 2026 14:48:50 GMT-8","25917917201","Transferir","","","Conta bancária com final: 964","","","Elo","","","","","0","0","0","0","0","0","0","0","-119,98","-119,98","Liberado","5 de mar. de 2026 14:48:50 GMT-8"
"5 de mar. de 2026 18:41:18 GMT-8","25926492791","Pedido","701-7358128-9608221","MFS-0023+R","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Rosa)","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Campinas","Sp","13050","31,97","0","0","0","0","-4,48","-5,00","0","0","22,49","Liberado","14 de mar. de 2026 09:47:57 GMT-7"
"5 de mar. de 2026 21:18:11 GMT-8","25926786851","Pedido","701-1065122-6345067","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Visa Crédito","Amazon","Lago Norte","Distrito Federal","71520","76,97","0","0","0","0","-9,24","-5,00","0","0","62,73","Liberado","13 de mar. de 2026 20:53:31 GMT-7"
"5 de mar. de 2026 21:19:28 GMT-8","25926492791","Pedido","701-0304101-3549850","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Crédito Mastercard e outros","Amazon","Brasília","Distrito Federal","70683","76,97","0","0","0","0","-9,24","-5,00","0","0","62,73","Liberado","13 de mar. de 2026 09:09:00 GMT-7"
"5 de mar. de 2026 21:25:57 GMT-8","25917917201","Pedido","701-4445329-4401856","MFS-0023+C","Bolsa Organizadora Para Cabos e Acessórios Eletrônicos Impermeável Estojo Multifuncional para Viagem Mundo F&s (Cinza)","1","amazon.com.br","Elo","Amazon","Olinda","PE","53050","35,99","0","0","0","0","-5,04","-5,00","0","0","25,95","Liberado","13 de mar. de 2026 21:13:39 GMT-7"
"6 de mar. de 2026 00:04:11 GMT-8","25976346871","Pedido","701-5746914-8851457","MFS-0017","Almofada Cóccix Ortopédica Assento em Gel de Silicone Lavável para Coluna Hemorroida Escritório Carro Mundo F&s","1","amazon.com.br","Boleto","Amazon","Guarantã do Norte","MT","78520","76,97","0","0","0","0","-9,24","-5,00","0","0","62,73","Liberado","25 de mar. de 2026 01:32:31 GMT-7"
